"CloneClassID","SiblingCount","Avg_CloneLineCount","Diff_CloneLineCount","Avg_TokenCount","Diff_TokenCount","CloneType","Avg_DirectoryDistance","Max_DirectoryDistance","Avg_EditDistance","Max_EditDistance","Avg_LineCount","Diff_LineCount","Avg_LineCodeCount","Diff_LineCodeCount","Avg_LineCodeDeclCount","Diff_LineCodeDeclCount","Avg_LineCodeExeCount","Diff_LineCodeExeCount","Avg_StmtCount","Diff_StmtCount","Avg_StmtDeclCount","Diff_StmtDeclCount","Avg_StmtExeCount","Diff_StmtExeCount","Avg_RatioLineCount","Diff_RatioLineCount","Avg_RatioLineCodeCount","Diff_RatioLineCodeCount","Avg_RatioLineCodeDeclCount","Diff_RatioLineCodeDeclCount","Avg_RatioLineCodeExeCount","Diff_RatioLineCodeExeCount","Avg_RatioStmtCount","Diff_RatioStmtCount","Avg_RatioStmtDeclCount","Diff_RatioStmtDeclCount","Avg_RatioStmtExeCount","Diff_RatioStmtExeCount","Avg_FanOut","Diff_FanOut","Avg_FanIn","Diff_FanIn","Avg_Cyclomatic","Diff_Cyclomatic","Avg_CyclomaticModified","Diff_CyclomaticModified","Avg_CyclomaticStrict","Diff_CyclomaticStrict","Avg_Essential","Diff_Essential","Avg_MaxNesting","Diff_MaxNesting","Avg_CountLineComment","Diff_CountLineComment","Avg_RatioCommentToCode","Diff_RatioCommentToCode","Avg_Churn","Diff_Churn","Avg_LineAdded","Diff_LineAdded","Avg_LineDeleted","Diff_LineDeleted","Avg_CommitCount","Diff_CommitCount","Avg_DeveloperCount","Diff_DeveloperCount","Avg_MajorDeveloperCount","Diff_MajorDeveloperCount","Avg_FixCommitCount","Diff_FixCommitCount","Avg_NewFeatureCommitCount","Diff_NewFeatureCommitCount","Avg_ImproveCommitCount","Diff_ImproveCommitCount"
16,1,16,0,122,0,"Type_1",0,0,0,0,42.5,25,42.5,25,10.5,5,31.5,19,31,18,10.5,5,20.5,13,2.65625,1.5625,2.65625,1.5625,0.65625,0.3125,1.96875,1.1875,1.9375,1.125,0.65625,0.3125,1.28125,0.8125,12.5,3,2,0,10,6,10,6,10,6,1,0,4,0,0,0,0,0,45,26,45,26,0,0,1,0,1,0,1,0,0,0,0,0,1,0
18,3,28.5,2,161,0,"Type_1",7.67,10,1.5,9,35.5,2,26,0,3,0,22,0,20,0,4,0,16,0,1.24584929757344,0.0178799489144317,1.24584929757344,0.0178799489144317,0.10536398467433,0.00766283524904214,0.772669220945083,0.0561941251596424,0.70242656449553,0.0510855683269476,0.10536398467433,0.00766283524904214,0.561941251596424,0.0408684546615581,7,0,8,15,7,0,4,0,7,0,1,0,2,0,7,0,0.27,0,27.5,2,26.75,1,2,3,1.75,1,1.5,1,1.5,1,0.25,1,0.5,1,1,2
19,4,25.8,1,144,0,"Type_1",7.2,10,2.7,27,35.8,3,26.2,1,3.2,1,22.2,1,20.2,1,4.2,1,16,0,1.38738461538462,0.063076923076923,1.38738461538462,0.063076923076923,0.124,0.0384615384615385,0.860615384615385,0.0384615384615384,0.783076923076923,0.0384615384615384,0.124,0.0384615384615385,0.620307692307692,0.0246153846153846,7.2,1,7.6,15,7,0,4,0,7,0,1,0,2,0,7,0,0.268,0.01,27.8,3,27,2,1.8,3,1.8,1,1.6,1,1.6,1,0.2,1,0.6,1,1,2
21,2,15,0,101,0,"Type_1",0,0,14,42,64,17,47.6666666666667,14,11,0,40.3333333333333,12,39,10,9,0,30,10,4.26666666666667,1.13333333333333,4.26666666666667,1.13333333333333,0.733333333333333,0,2.68888888888889,0.8,2.6,0.666666666666667,0.733333333333333,0,2,0.666666666666667,28.6666666666667,1,2,0,5.33333333333333,2,5.33333333333333,2,7,3,1,0,1,0,7.33333333333333,1,0.156666666666667,0.04,44.3333333333333,12,44.3333333333333,12,0,0,1.33333333333333,1,1.33333333333333,1,1.33333333333333,1,1,0,0,0,0.333333333333333,1
23,1,30.5,1,154,0,"Type_1",15,15,40,40,38,0,23.5,1,2,0,16.5,1,13,0,2,0,11,0,1.24623655913978,0.0408602150537634,1.24623655913978,0.0408602150537634,0.0655913978494624,0.0021505376344086,0.540860215053763,0.0150537634408602,0.426344086021505,0.0139784946236559,0.0655913978494624,0.0021505376344086,0.360752688172043,0.0118279569892473,7,0,2,0,6,0,6,0,11,0,6,0,2,0,11.5,1,0.49,0.06,11.5,21,11.5,21,1,2,1,0,1,0,1,0,1,0,0,0,0,0
25,2,16,0,108,0,"Type_1",0,0,2.67,8,29,6,22.3333333333333,4,3.66666666666667,2,20,3,19.6666666666667,5,4,3,15.6666666666667,2,1.8125,0.375,1.8125,0.375,0.229166666666667,0.125,1.25,0.1875,1.22916666666667,0.3125,0.229166666666667,0.125,0.979166666666667,0.125,9,3,0,0,1.33333333333333,1,1.33333333333333,1,1.33333333333333,1,1,0,0.333333333333333,1,6.66666666666667,2,0.3,0.03,27.3333333333333,21,24,13,3.33333333333333,8,4,4,1,0,1,0,0.333333333333333,1,1,0,2.66666666666667,3
26,1,18,0,163,0,"Type_1",0,0,0,0,28.5,3,22,2,4,2,19.5,1,20,4,4.5,3,15.5,1,1.58333333333333,0.166666666666667,1.58333333333333,0.166666666666667,0.222222222222222,0.111111111111111,1.08333333333333,0.0555555555555556,1.11111111111111,0.222222222222222,0.222222222222222,0.111111111111111,0.861111111111111,0.0555555555555555,9,2,0,0,1.5,1,1.5,1,1.5,1,1,0,0.5,1,7,2,0.32,0.06,25,12,23,8,2,4,3.5,3,1,0,1,0,0.5,1,1,0,2,2
27,2,16,0,130,0,"Type_1",0,0,1.33,4,28,3,21.6666666666667,2,3.66666666666667,2,19.3333333333333,1,19.3333333333333,4,4,3,15.3333333333333,1,1.75,0.1875,1.75,0.1875,0.229166666666667,0.125,1.20833333333333,0.0625,1.20833333333333,0.25,0.229166666666667,0.125,0.958333333333333,0.0625,8.66666666666667,2,0,0,1.33333333333333,1,1.33333333333333,1,1.33333333333333,1,1,0,0.333333333333333,1,6.66666666666667,2,0.31,0.06,24.3333333333333,12,22.3333333333333,8,2,4,3.66666666666667,3,1,0,1,0,0.333333333333333,1,1,0,2.33333333333333,2
28,3,14,0,106,0,"Type_1",0,0,0.67,4,29.25,6,22.5,4,4,2,20,3,20.25,5,4.5,3,15.75,2,2.08928571428571,0.428571428571429,2.08928571428571,0.428571428571429,0.285714285714286,0.142857142857143,1.42857142857143,0.214285714285714,1.44642857142857,0.357142857142857,0.285714285714286,0.142857142857143,1.125,0.142857142857143,9.25,3,0,0,1.5,1,1.5,1,1.5,1,1,0,0.5,1,7,2,0.3125,0.06,28.25,21,24.75,13,3.5,8,4.25,4,1,0,1,0,0.5,1,1,0,2.75,3
32,2,15,0,121,0,"Type_1",0,0,0,0,34.3333333333333,1,31.3333333333333,1,11.3333333333333,1,25.3333333333333,1,20.6666666666667,1,9.66666666666667,1,11,0,2.28888888888889,0.0666666666666669,2.28888888888889,0.0666666666666669,0.755555555555556,0.0666666666666668,1.68888888888889,0.0666666666666667,1.37777777777778,0.0666666666666667,0.755555555555556,0.0666666666666668,0.733333333333333,0,10.3333333333333,2,6.33333333333333,1,4,0,4,0,5,0,1,0,3,0,3,0,0.0966666666666667,0.01,31.6666666666667,1,31.6666666666667,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
