"CloneClassID","SiblingCount","Avg_CloneLineCount","Diff_CloneLineCount","Avg_TokenCount","Diff_TokenCount","CloneType","Avg_DirectoryDistance","Max_DirectoryDistance","Avg_EditDistance","Max_EditDistance","Avg_LineCount","Diff_LineCount","Avg_LineCodeCount","Diff_LineCodeCount","Avg_LineCodeDeclCount","Diff_LineCodeDeclCount","Avg_LineCodeExeCount","Diff_LineCodeExeCount","Avg_StmtCount","Diff_StmtCount","Avg_StmtDeclCount","Diff_StmtDeclCount","Avg_StmtExeCount","Diff_StmtExeCount","Avg_RatioLineCount","Diff_RatioLineCount","Avg_RatioLineCodeCount","Diff_RatioLineCodeCount","Avg_RatioLineCodeDeclCount","Diff_RatioLineCodeDeclCount","Avg_RatioLineCodeExeCount","Diff_RatioLineCodeExeCount","Avg_RatioStmtCount","Diff_RatioStmtCount","Avg_RatioStmtDeclCount","Diff_RatioStmtDeclCount","Avg_RatioStmtExeCount","Diff_RatioStmtExeCount","Avg_FanOut","Diff_FanOut","Avg_FanIn","Diff_FanIn","Avg_Cyclomatic","Diff_Cyclomatic","Avg_CyclomaticModified","Diff_CyclomaticModified","Avg_CyclomaticStrict","Diff_CyclomaticStrict","Avg_Essential","Diff_Essential","Avg_MaxNesting","Diff_MaxNesting","Avg_CountLineComment","Diff_CountLineComment","Avg_RatioCommentToCode","Diff_RatioCommentToCode","Avg_Churn","Diff_Churn","Avg_LineAdded","Diff_LineAdded","Avg_LineDeleted","Diff_LineDeleted","Avg_CommitCount","Diff_CommitCount","Avg_DeveloperCount","Diff_DeveloperCount","Avg_MajorDeveloperCount","Diff_MajorDeveloperCount","Avg_FixCommitCount","Diff_FixCommitCount","Avg_NewFeatureCommitCount","Diff_NewFeatureCommitCount","Avg_ImproveCommitCount","Diff_ImproveCommitCount"
0,1,25,0,165,0,"Type_1",0,0,7,7,42.5,9,34,6,13,4,32,6,33,6,13,4,20,2,1.7,0.36,1.7,0.36,0.52,0.16,1.28,0.24,1.32,0.24,0.52,0.16,0.8,0.08,12,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,34,6,34,6,0,0,1,0,1,0,1,0,0,0,0,0,1,0
1,3,13.5,1,123,0,"Type_1",0,0,29,29,23.5,3,21.5,3,8.5,1,16.5,3,16,2,8.5,1,7.5,1,1.74725274725275,0.351648351648352,1.74725274725275,0.351648351648352,0.631868131868132,0.120879120879121,1.22802197802198,0.313186813186813,1.18956043956044,0.236263736263736,0.631868131868132,0.120879120879121,0.557692307692308,0.115384615384615,6,0,3,2,4.5,1,4.5,1,6.5,1,1,0,2,0,0,0,0,0,28.75,19,12,26,16.75,41,1,0,1,0,1,0,0,0,0,0,1,0
3,1,20,0,122,0,"Type_1",0,0,32,32,28,12,20,8,9,4,18,8,19,8,9,4,10,4,1.4,0.6,1.4,0.6,0.45,0.2,0.9,0.4,0.95,0.4,0.45,0.2,0.5,0.2,12,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,20,8,20,8,0,0,1,0,1,0,1,0,0,0,0,0,1,0
6,11,19,0,156,0,"Type_1",0,0,1.73,26,42.3333333333333,5,40.3333333333333,5,12,0,35.3333333333333,5,33.3333333333333,1,12,0,21.3333333333333,1,2.2280701754386,0.263157894736842,2.2280701754386,0.263157894736842,0.631578947368421,0,1.85964912280702,0.263157894736842,1.75438596491228,0.0526315789473684,0.631578947368421,0,1.12280701754386,0.0526315789473684,21,0,1,0,5,0,5,0,5,0,1,0,2,0,0,0,0,0,17.1666666666667,31,16.6666666666667,32,0.5,1,1,0,1,0,1,0,0.5,1,0,0,0.5,1
8,19,17,0,148,0,"Type_1",0,0,0.87,39,43,7,40.2,6,12,0,34.6,7,35.4,7,12.8,2,22.6,5,2.52941176470588,0.411764705882353,2.52941176470588,0.411764705882353,0.705882352941177,0,2.03529411764706,0.411764705882353,2.08235294117647,0.411764705882353,0.705882352941177,0,1.32941176470588,0.294117647058823,20.6,1,1,0,6,3,6,3,6,3,1,0,2.4,1,0,0,0,0,17.7,36,17.2,37,0.5,1,1,0,1,0,1,0,0.5,1,0,0,0.5,1
9,20,12,0,104,0,"Type_1",0,0,0.53,29,42.7619047619048,9,39.9523809523809,8,12.047619047619,1,34.3809523809524,8,35.3333333333333,7,12.8571428571429,2,22.4761904761905,6,3.56349206349206,0.75,3.56349206349206,0.75,1.00396825396825,0.0833333333333333,2.86507936507937,0.666666666666667,2.94444444444444,0.583333333333333,1.00396825396825,0.0833333333333333,1.87301587301587,0.5,20.7142857142857,3,1,0,5.95238095238095,3,5.95238095238095,3,5.95238095238095,3,1,0,2.38095238095238,1,0,0,0,0,18.4285714285714,36,17.952380952381,37,0.476190476190476,1,1,0,1,0,1,0,0.476190476190476,1,0,0,0.523809523809524,1
10,1,38.5,1,191,0,"Type_1",0,0,462,462,205,0,177,0,17,0,122,0,134,0,17,0,117,0,5.32557354925776,0.138326585695006,5.32557354925776,0.138326585695006,0.441632928475034,0.0114709851551957,3.1693657219973,0.0823211875843457,3.48110661268556,0.0904183535762484,0.441632928475034,0.0114709851551957,3.03947368421053,0.0789473684210527,12,0,16,0,28,0,28,0,30,0,4,0,6,0,11,0,0.06,0,183,0,183,0,2,0,1,0,1,0,1,0,0,0,0,0,1,0
11,2,23.3333333333333,1,106,0,"Type_1",0,0,94,282,205,0,177,0,17,0,122,0,134,0,17,0,117,0,8.78925120772947,0.371376811594203,8.78925120772947,0.371376811594203,0.728864734299517,0.0307971014492753,5.23067632850242,0.221014492753623,5.7451690821256,0.242753623188406,0.728864734299517,0.0307971014492753,5.01630434782609,0.211956521739131,12,0,16,0,28,0,28,0,30,0,4,0,6,0,11,0,0.06,0,183,0,183,0,2,0,1,0,1,0,1,0,0,0,0,0,1,0
15,3,28,0,189,0,"Type_1",0,0,4,4,31,0,21,0,9,0,18,0,20,0,9,0,11,0,1.10714285714286,0,1.10714285714286,0,0.321428571428571,0,0.642857142857143,0,0.714285714285714,0,0.321428571428571,0,0.392857142857143,0,20,0,1,0,3,0,3,0,3,0,1,0,1,0,1,0,0.05,0,21.75,2,10.5,21,11.25,23,1,0,1,0,1,0,0,0,0,0,1,0
16,3,27.5,1,164,0,"Type_1",0,0,6,6,31,4,20,2,8,0,17,2,19,2,8,0,11,2,1.12632275132275,0.104497354497354,1.12632275132275,0.104497354497354,0.291005291005291,0.0105820105820106,0.617724867724868,0.0502645502645503,0.69047619047619,0.0476190476190477,0.291005291005291,0.0105820105820106,0.399470899470899,0.0582010582010582,18,0,1,0,3,0,3,0,3,0,1,0,1,0,1.5,1,0.075,0.05,20,2,10,21,10,21,1,0,1,0,1,0,0,0,0,0,1,0
