"CloneClassID","SiblingCount","Avg_CloneLineCount","Diff_CloneLineCount","Avg_TokenCount","Diff_TokenCount","CloneType","Avg_DirectoryDistance","Max_DirectoryDistance","Avg_EditDistance","Max_EditDistance","Avg_LineCount","Diff_LineCount","Avg_LineCodeCount","Diff_LineCodeCount","Avg_LineCodeDeclCount","Diff_LineCodeDeclCount","Avg_LineCodeExeCount","Diff_LineCodeExeCount","Avg_StmtCount","Diff_StmtCount","Avg_StmtDeclCount","Diff_StmtDeclCount","Avg_StmtExeCount","Diff_StmtExeCount","Avg_RatioLineCount","Diff_RatioLineCount","Avg_RatioLineCodeCount","Diff_RatioLineCodeCount","Avg_RatioLineCodeDeclCount","Diff_RatioLineCodeDeclCount","Avg_RatioLineCodeExeCount","Diff_RatioLineCodeExeCount","Avg_RatioStmtCount","Diff_RatioStmtCount","Avg_RatioStmtDeclCount","Diff_RatioStmtDeclCount","Avg_RatioStmtExeCount","Diff_RatioStmtExeCount","Avg_FanOut","Diff_FanOut","Avg_FanIn","Diff_FanIn","Avg_Cyclomatic","Diff_Cyclomatic","Avg_CyclomaticModified","Diff_CyclomaticModified","Avg_CyclomaticStrict","Diff_CyclomaticStrict","Avg_Essential","Diff_Essential","Avg_MaxNesting","Diff_MaxNesting","Avg_CountLineComment","Diff_CountLineComment","Avg_RatioCommentToCode","Diff_RatioCommentToCode","Avg_Churn","Diff_Churn","Avg_LineAdded","Diff_LineAdded","Avg_LineDeleted","Diff_LineDeleted","Avg_CommitCount","Diff_CommitCount","Avg_DeveloperCount","Diff_DeveloperCount","Avg_MajorDeveloperCount","Diff_MajorDeveloperCount","Avg_FixCommitCount","Diff_FixCommitCount","Avg_NewFeatureCommitCount","Diff_NewFeatureCommitCount","Avg_ImproveCommitCount","Diff_ImproveCommitCount"
2,1,28,0,143,0,"Type_1",0,0,6,6,40.5,3,39.5,1,3.5,1,18,0,12,0,2,0,10,0,1.44642857142857,0.107142857142857,1.44642857142857,0.107142857142857,0.125,0.0357142857142857,0.642857142857143,0,0.428571428571429,0,0.125,0.0357142857142857,0.357142857142857,0,5,0,14.5,5,8,0,8,0,8,0,1,0,1,0,1,2,0.025,0.05,32,12,27,12,9,0,4,0,1,0,1,0,0,0,0,0,4,0
3,1,17,0,100,0,"Type_1",0,0,36,36,44.5,15,27.5,9,12.5,3,23.5,9,24.5,9,11.5,3,13,6,2.61764705882353,0.882352941176471,2.61764705882353,0.882352941176471,0.735294117647059,0.176470588235294,1.38235294117647,0.529411764705882,1.44117647058824,0.529411764705882,0.735294117647059,0.176470588235294,0.764705882352941,0.352941176470588,17.5,3,2.5,1,1,0,1,0,1,0,1,0,0,0,1,0,0.035,0.01,25.5,9,25.5,9,2,0,1,0,1,0,1,0,0,0,1,0,0,0
6,3,11,0,144,0,"Type_1",0,0,0.17,1,481,0,441,0,7,0,437,0,438,0,6,0,432,0,43.7272727272727,0,43.7272727272727,0,0.636363636363636,0,39.7272727272727,0,39.8181818181818,0,0.636363636363636,0,39.2727272727273,0,15,0,6,0,1,0,1,0,1,0,1,0,0,0,4,0,0.01,0,453,0,446,0,14,0,6,0,1,0,1,0,0,0,0,0,6,0
9,1,16,0,101,0,"Type_1",0,0,3,3,32.5,1,25.5,1,5,0,16.5,1,18,0,6,0,12,0,2.03125,0.0625,2.03125,0.0625,0.3125,0,1.03125,0.0625,1.125,0,0.3125,0,0.75,0,22,0,3,2,4,0,4,0,6,2,1,0,2,0,1,0,0.04,0,23,4,22,2,4.5,5,2.5,3,1.5,1,1.5,1,0,0,1.5,1,1,2
12,1,12,0,117,0,"Type_1",0,0,15,15,481,0,441,0,7,0,437,0,438,0,6,0,432,0,40.0833333333333,0,40.0833333333333,0,0.583333333333333,0,36.4166666666667,0,36.5,0,0.583333333333333,0,36,0,15,0,6,0,1,0,1,0,1,0,1,0,0,0,4,0,0.01,0,453,0,446,0,14,0,6,0,1,0,1,0,0,0,0,0,6,0
13,1,12,0,117,0,"Type_1",0,0,7,7,481,0,441,0,7,0,437,0,438,0,6,0,432,0,40.0833333333333,0,40.0833333333333,0,0.583333333333333,0,36.4166666666667,0,36.5,0,0.583333333333333,0,36,0,15,0,6,0,1,0,1,0,1,0,1,0,0,0,4,0,0.01,0,453,0,446,0,14,0,6,0,1,0,1,0,0,0,0,0,6,0
15,3,9,0,100,0,"Type_1",0,0,0.83,5,481,0,441,0,7,0,437,0,438,0,6,0,432,0,53.4444444444444,0,53.4444444444444,0,0.777777777777778,0,48.5555555555556,0,48.6666666666667,0,0.777777777777778,0,48,0,15,0,6,0,1,0,1,0,1,0,1,0,0,0,4,0,0.01,0,453,0,446,0,14,0,6,0,1,0,1,0,0,0,0,0,6,0
17,2,9,0,100,0,"Type_1",0,0,2.33,7,481,0,441,0,7,0,437,0,438,0,6,0,432,0,53.4444444444444,0,53.4444444444444,0,0.777777777777778,0,48.5555555555556,0,48.6666666666667,0,0.777777777777778,0,48,0,15,0,6,0,1,0,1,0,1,0,1,0,0,0,4,0,0.01,0,453,0,446,0,14,0,6,0,1,0,1,0,0,0,0,0,6,0
18,1,19,0,223,0,"Type_1",0,0,4,4,481,0,441,0,7,0,437,0,438,0,6,0,432,0,25.3157894736842,0,25.3157894736842,0,0.368421052631579,0,23,0,23.0526315789474,0,0.368421052631579,0,22.7368421052632,0,15,0,6,0,1,0,1,0,1,0,1,0,0,0,4,0,0.01,0,453,0,446,0,14,0,6,0,1,0,1,0,0,0,0,0,6,0
21,1,10,0,109,0,"Type_1",0,0,1,1,481,0,441,0,7,0,437,0,438,0,6,0,432,0,48.1,0,48.1,0,0.7,0,43.7,0,43.8,0,0.7,0,43.2,0,15,0,6,0,1,0,1,0,1,0,1,0,0,0,4,0,0.01,0,453,0,446,0,14,0,6,0,1,0,1,0,0,0,0,0,6,0
22,1,10,0,109,0,"Type_1",0,0,2,2,481,0,441,0,7,0,437,0,438,0,6,0,432,0,48.1,0,48.1,0,0.7,0,43.7,0,43.8,0,0.7,0,43.2,0,15,0,6,0,1,0,1,0,1,0,1,0,0,0,4,0,0.01,0,453,0,446,0,14,0,6,0,1,0,1,0,0,0,0,0,6,0
23,1,15,0,155,0,"Type_1",0,0,25,25,481,0,441,0,7,0,437,0,438,0,6,0,432,0,32.0666666666667,0,32.0666666666667,0,0.466666666666667,0,29.1333333333333,0,29.2,0,0.466666666666667,0,28.8,0,15,0,6,0,1,0,1,0,1,0,1,0,0,0,4,0,0.01,0,453,0,446,0,14,0,6,0,1,0,1,0,0,0,0,0,6,0
24,1,10,0,109,0,"Type_1",0,0,2,2,481,0,441,0,7,0,437,0,438,0,6,0,432,0,48.1,0,48.1,0,0.7,0,43.7,0,43.8,0,0.7,0,43.2,0,15,0,6,0,1,0,1,0,1,0,1,0,0,0,4,0,0.01,0,453,0,446,0,14,0,6,0,1,0,1,0,0,0,0,0,6,0
27,1,28,0,248,0,"Type_1",0,0,0,0,132,62,110.5,37,18.5,13,65,26,57.5,33,16.5,15,41,18,4.71428571428571,2.21428571428571,4.71428571428571,2.21428571428571,0.660714285714286,0.464285714285714,2.32142857142857,0.928571428571428,2.05357142857143,1.17857142857143,0.660714285714286,0.464285714285714,1.46428571428571,0.642857142857143,39.5,27,11.5,1,15.5,5,15.5,5,16.5,7,1,0,4,0,3,2,0.025,0.01,63.5,107,31.5,49,42,72,10,14,2.5,1,2.5,1,1.5,3,0.5,1,8,10
35,1,41.5,9,133,6,"Type_3",17,17,559,559,41.5,9,19.5,3,3,0,11.5,1,11.5,1,3,0,8.5,1,1,0,1,0,0.0731492361927145,0.0158636897767333,0.279083431257344,0.036427732079906,0.279083431257344,0.036427732079906,0.0731492361927145,0.0158636897767333,0.20593419506463,0.0205640423031727,6,0,4,0,2.5,1,2.5,1,2.5,1,1,0,1.5,1,17.5,5,0.89,0.12,19.5,3,19.5,3,4,0,2,2,1.5,1,1.5,1,0.5,1,0,0,1.5,1
