"Clusters_version","CloneClassID","NumberOfVersions","GroupName"
1,4667,20,"Long-lived"
1,336,10,"Long-lived"
1,17417,11,"Long-lived"
1,5756,19,"Long-lived"
1,4087,16,"Long-lived"
1,15472,12,"Long-lived"
1,7390,18,"Long-lived"
1,4756,20,"Long-lived"
1,219,10,"Long-lived"
1,1465,11,"Long-lived"
1,4182,20,"Long-lived"
1,776,10,"Long-lived"
1,6031,12,"Long-lived"
1,6978,27,"Long-lived"
1,6809,27,"Long-lived"
1,14992,12,"Long-lived"
1,15374,27,"Long-lived"
1,19364,10,"Long-lived"
1,11495,15,"Long-lived"
1,6345,16,"Long-lived"
1,12491,14,"Long-lived"
1,5520,12,"Long-lived"
1,13102,14,"Long-lived"
1,6388,28,"Long-lived"
1,5253,19,"Long-lived"
1,21581,16,"Long-lived"
1,6245,19,"Long-lived"
1,4763,15,"Long-lived"
1,6808,27,"Long-lived"
1,6107,12,"Long-lived"
1,6657,16,"Long-lived"
1,5109,15,"Long-lived"
1,5028,15,"Long-lived"
1,10697,15,"Long-lived"
1,5994,20,"Long-lived"
1,11898,11,"Long-lived"
1,10829,16,"Long-lived"
1,32181,11,"Long-lived"
1,6974,27,"Long-lived"
1,28041,12,"Long-lived"
1,3929,11,"Long-lived"
1,6466,18,"Long-lived"
1,4141,14,"Long-lived"
1,19023,10,"Long-lived"
1,10994,11,"Long-lived"
1,7374,27,"Long-lived"
1,12076,17,"Long-lived"
1,3962,27,"Long-lived"
1,12487,12,"Long-lived"
1,13032,14,"Long-lived"
1,9165,15,"Long-lived"
1,6856,10,"Long-lived"
1,5077,20,"Long-lived"
1,35787,15,"Long-lived"
1,28494,22,"Long-lived"
1,6144,16,"Long-lived"
1,7501,27,"Long-lived"
1,10676,15,"Long-lived"
1,88609,11,"Long-lived"
1,6955,16,"Long-lived"
1,386,10,"Long-lived"
1,6463,20,"Long-lived"
1,6125,19,"Long-lived"
1,6969,27,"Long-lived"
1,11405,15,"Long-lived"
1,35785,15,"Long-lived"
1,6658,16,"Long-lived"
1,133887,16,"Long-lived"
1,88605,11,"Long-lived"
1,33977,11,"Long-lived"
1,6426,18,"Long-lived"
1,11702,11,"Long-lived"
1,4695,11,"Long-lived"
1,10674,15,"Long-lived"
1,144158,11,"Long-lived"
1,3980,20,"Long-lived"
2,40,1,"Short-lived"
2,105,1,"Short-lived"
2,91,1,"Short-lived"
2,102,1,"Short-lived"
2,161,1,"Short-lived"
2,14,1,"Short-lived"
2,160,1,"Short-lived"
2,20,1,"Short-lived"
2,104,1,"Short-lived"
2,94,1,"Short-lived"
2,3,1,"Short-lived"
2,0,1,"Short-lived"
2,56,1,"Short-lived"
2,81,1,"Short-lived"
2,80,1,"Short-lived"
2,79,1,"Short-lived"
2,78,1,"Short-lived"
2,16,1,"Short-lived"
2,46,1,"Short-lived"
2,19,1,"Short-lived"
2,18,1,"Short-lived"
2,71,1,"Short-lived"
2,69,1,"Short-lived"
2,21,2,"Short-lived"
2,44,1,"Short-lived"
2,38,1,"Short-lived"
2,159,1,"Short-lived"
2,158,1,"Short-lived"
2,22,1,"Short-lived"
2,25,1,"Short-lived"
2,24,1,"Short-lived"
2,82,1,"Short-lived"
2,17,1,"Short-lived"
2,39,1,"Short-lived"
2,2,1,"Short-lived"
2,5,1,"Short-lived"
2,77,1,"Short-lived"
2,598,2,"Short-lived"
2,599,2,"Short-lived"
2,595,2,"Short-lived"
2,593,2,"Short-lived"
2,196,3,"Short-lived"
2,197,3,"Short-lived"
2,176,2,"Short-lived"
2,194,4,"Short-lived"
2,800,3,"Short-lived"
2,1448,1,"Short-lived"
2,754,3,"Short-lived"
2,753,3,"Short-lived"
2,187,2,"Short-lived"
2,338,2,"Short-lived"
2,2395,1,"Short-lived"
2,217,5,"Short-lived"
2,702,1,"Short-lived"
2,801,3,"Short-lived"
