"CloneClassID","SiblingCount","Avg_CloneLineCount","Diff_CloneLineCount","Avg_TokenCount","Diff_TokenCount","CloneType","Avg_DirectoryDistance","Max_DirectoryDistance","Avg_EditDistance","Max_EditDistance","Avg_LineCount","Diff_LineCount","Avg_LineCodeCount","Diff_LineCodeCount","Avg_LineCodeDeclCount","Diff_LineCodeDeclCount","Avg_LineCodeExeCount","Diff_LineCodeExeCount","Avg_StmtCount","Diff_StmtCount","Avg_StmtDeclCount","Diff_StmtDeclCount","Avg_StmtExeCount","Diff_StmtExeCount","Avg_RatioLineCount","Diff_RatioLineCount","Avg_RatioLineCodeCount","Diff_RatioLineCodeCount","Avg_RatioLineCodeDeclCount","Diff_RatioLineCodeDeclCount","Avg_RatioLineCodeExeCount","Diff_RatioLineCodeExeCount","Avg_RatioStmtCount","Diff_RatioStmtCount","Avg_RatioStmtDeclCount","Diff_RatioStmtDeclCount","Avg_RatioStmtExeCount","Diff_RatioStmtExeCount","Avg_FanOut","Diff_FanOut","Avg_FanIn","Diff_FanIn","Avg_Cyclomatic","Diff_Cyclomatic","Avg_CyclomaticModified","Diff_CyclomaticModified","Avg_CyclomaticStrict","Diff_CyclomaticStrict","Avg_Essential","Diff_Essential","Avg_MaxNesting","Diff_MaxNesting","Avg_CountLineComment","Diff_CountLineComment","Avg_RatioCommentToCode","Diff_RatioCommentToCode","Avg_Churn","Diff_Churn","Avg_LineAdded","Diff_LineAdded","Avg_LineDeleted","Diff_LineDeleted","Avg_CommitCount","Diff_CommitCount","Avg_DeveloperCount","Diff_DeveloperCount","Avg_MajorDeveloperCount","Diff_MajorDeveloperCount","Avg_FixCommitCount","Diff_FixCommitCount","Avg_NewFeatureCommitCount","Diff_NewFeatureCommitCount","Avg_ImproveCommitCount","Diff_ImproveCommitCount"
16,1,17,0,108,0,"Type_2",0,0,107,107,24.5,1,24,0,4.5,1,15,0,14,0,4.5,1,9.5,1,1.44117647058824,0.0588235294117647,1.44117647058824,0.0588235294117647,0.264705882352941,0.0588235294117647,0.882352941176471,0,0.823529411764706,0,0.264705882352941,0.0588235294117647,0.558823529411765,0.0588235294117647,12,0,3.5,1,4,0,4,0,4,0,1,0,2,0,0.5,1,0.02,0.04,25,0,25,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0
17,1,11,0,112,0,"Type_2",0,0,6,6,12,0,11,0,3,0,9,0,10,0,3,0,7,0,1.09090909090909,0,1.09090909090909,0,0.272727272727273,0,0.818181818181818,0,0.909090909090909,0,0.272727272727273,0,0.636363636363636,0,10,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0.09,0,11,0,11,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0
32,1,21.5,5,228,0,"Type_1",0,0,69,69,33.5,3,23.5,1,3,0,21.5,1,22.5,1,3,0,19.5,1,1.57127192982456,0.225877192982456,1.57127192982456,0.225877192982456,0.141447368421053,0.0328947368421053,1.01644736842105,0.282894736842105,1.06359649122807,0.293859649122807,0.141447368421053,0.0328947368421053,0.922149122807018,0.260964912280702,2,0,18.5,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,23.5,1,23.5,1,2,0,1,0,1,0,1,0,0,0,0,0,1,0
33,1,20,0,122,0,"Type_1",0,0,8,8,33,0,25.5,3,6,0,19.5,3,19.5,3,5,0,14.5,3,1.65,0,1.65,0,0.3,0,0.975,0.15,0.975,0.15,0.3,0,0.725,0.15,10,2,6,0,5,0,5,0,5,0,1,0,2,0,2,0,0.075,0.01,3,0,3,0,2,0,1,0,1,0,1,0,0,0,0,0,1,0
36,1,24.5,1,139,0,"Type_1",0,0,11,11,44,10,32.5,7,6,0,24.5,5,25.5,5,6,0,19.5,5,1.7925,0.335,1.7925,0.335,0.245,0.01,0.998333333333333,0.163333333333333,1.03916666666667,0.161666666666667,0.245,0.01,0.794166666666667,0.171666666666667,10.5,1,5.5,3,7,2,7,2,7,2,1,0,2,0,3.5,1,0.105,0.01,4,0,4,0,2,0,1,0,1,0,1,0,0,0,0,0,1,0
39,1,25,0,168,0,"Type_1",18,18,0,0,25,0,18,0,7,0,16,0,17,0,7,0,10,0,1,0,1,0,0.28,0,0.64,0,0.68,0,0.28,0,0.4,0,15,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,18,0,18,0,2,0,1,0,1,0,1,0,0,0,0.5,1,0.5,1
40,2,23,0,153,0,"Type_1",18,18,0,0,25.3333333333333,1,18.3333333333333,1,7,0,16.3333333333333,1,17.3333333333333,1,7,0,10.3333333333333,1,1.10144927536232,0.0434782608695652,1.10144927536232,0.0434782608695652,0.304347826086957,0,0.710144927536232,0.0434782608695652,0.753623188405797,0.0434782608695653,0.304347826086957,0,0.449275362318841,0.0434782608695652,15.3333333333333,1,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,19,3,18.6666666666667,2,2.66666666666667,2,1.33333333333333,1,1.33333333333333,1,1.33333333333333,1,0.333333333333333,1,0.666666666666667,1,0.333333333333333,1
41,1,12,2,109,0,"Type_1",0,0,39,39,19.5,3,13.5,1,3,0,11.5,1,12.5,1,3,0,9.5,1,1.62587412587413,0.020979020979021,1.62587412587413,0.020979020979021,0.251748251748252,0.0419580419580419,0.961538461538462,0.0769230769230769,1.04545454545455,0.0909090909090908,0.251748251748252,0.0419580419580419,0.793706293706294,0.048951048951049,2,0,8.5,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,13.5,1,13.5,1,2,0,1,0,1,0,1,0,0,0,0,0,1,0
42,1,14,0,145,0,"Type_1",0,0,24,24,33.5,3,23.5,1,3,0,21.5,1,22.5,1,3,0,19.5,1,2.39285714285714,0.214285714285714,2.39285714285714,0.214285714285714,0.214285714285714,0,1.53571428571429,0.0714285714285714,1.60714285714286,0.0714285714285714,0.214285714285714,0,1.39285714285714,0.0714285714285714,2,0,18.5,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,23.5,1,23.5,1,2,0,1,0,1,0,1,0,0,0,0,0,1,0
43,1,21,2,130,0,"Type_2",0,0,63,63,36,6,28,2,6,0,21.5,1,22,2,5.5,1,16.5,1,1.71136363636364,0.122727272727273,1.71136363636364,0.122727272727273,0.286363636363636,0.0272727272727273,1.025,0.05,1.04772727272727,0.00454545454545463,0.286363636363636,0.0272727272727273,0.786363636363636,0.0272727272727273,10.5,1,5,2,5.5,1,5.5,1,5.5,1,1,0,2,0,2.5,1,0.085,0.03,3.5,1,3.5,1,2,0,1,0,1,0,1,0,0,0,0,0,1,0
49,1,35,16,203.5,95,"Type_3",0,0,544,544,41,16,30,12,6,0,22.5,9,23.5,9,6,0,17.5,9,1.18087855297158,0.0826873385012921,1.18087855297158,0.0826873385012921,0.180878552971576,0.082687338501292,0.647286821705426,0.0387596899224806,0.677433247200689,0.0525409130060293,0.180878552971576,0.082687338501292,0.496554694229113,0.0301464254952628,10,2,6,2,6.5,3,6.5,3,6.5,3,1,0,2,0,3,2,0.095,0.03,4,0,4,0,2,0,1,0,1,0,1,0,0,0,0,0,1,0
50,1,20.5,3,129,0,"Type_2",0,0,74,74,41,16,31.5,9,6,0,24,6,24.5,7,5.5,1,19,6,1.98205741626794,0.490430622009569,1.98205741626794,0.490430622009569,0.294258373205742,0.0430622009569378,1.16626794258373,0.12200956937799,1.188995215311,0.167464114832536,0.294258373205742,0.0430622009569378,0.921052631578947,0.157894736842105,11,0,6.5,1,6.5,3,6.5,3,6.5,3,1,0,2,0,3,2,0.09,0.04,3.5,1,3.5,1,2,0,1,0,1,0,1,0,0,0,0,0,1,0
51,1,26,14,158,90,"Type_3",0,0,559,559,44,10,32.5,7,6,0,24.5,5,25.5,5,6,0,19.5,5,1.88038277511962,1.39712918660287,1.88038277511962,1.39712918660287,0.248803827751196,0.133971291866029,1.04385964912281,0.754385964912281,1.08532695374801,0.776714513556619,0.248803827751196,0.133971291866029,0.83652312599681,0.64274322169059,10.5,1,5.5,3,7,2,7,2,7,2,1,0,2,0,3.5,1,0.105,0.01,4,0,4,0,2,0,1,0,1,0,1,0,0,0,0,0,1,0
52,1,30,6,179.5,47,"Type_3",0,0,347,347,36,6,26.5,5,6,0,20,4,21,4,6,0,15,4,1.2020202020202,0.0404040404040404,1.2020202020202,0.0404040404040404,0.202020202020202,0.0404040404040404,0.666666666666667,0,0.7003367003367,0.0067340067340067,0.202020202020202,0.0404040404040404,0.498316498316498,0.0336700336700337,9.5,1,4.5,1,5.5,1,5.5,1,5.5,1,1,0,2,0,2.5,1,0.09,0.02,4,0,4,0,2,0,1,0,1,0,1,0,0,0,0,0,1,0
57,1,13,0,116,0,"Type_2",0,0,24,24,15.5,1,14,0,6,0,11,0,11,0,6,0,5,0,1.19230769230769,0.0769230769230771,1.19230769230769,0.0769230769230771,0.461538461538462,0,0.846153846153846,0,0.846153846153846,0,0.461538461538462,0,0.384615384615385,0,7,0,3,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,7.5,15,7.5,15,1.5,1,1,0,1,0,1,0,0,0,0,0,1,0
