"Clusters_version","CloneClassID","NumberOfVersions","GroupName"
1,2230,9,"Long-lived"
1,156,11,"Long-lived"
1,983,11,"Long-lived"
1,958,8,"Long-lived"
1,4973,10,"Long-lived"
1,26535,14,"Long-lived"
1,9695,8,"Long-lived"
1,68275,8,"Long-lived"
1,4983,10,"Long-lived"
1,3407,7,"Long-lived"
1,844,11,"Long-lived"
1,37638,13,"Long-lived"
1,228,23,"Long-lived"
1,308,17,"Long-lived"
1,78674,8,"Long-lived"
1,157,11,"Long-lived"
1,20627,8,"Long-lived"
1,231,23,"Long-lived"
1,5250,7,"Long-lived"
1,15242,16,"Long-lived"
1,77188,8,"Long-lived"
1,10267,8,"Long-lived"
1,15473,13,"Long-lived"
1,28024,9,"Long-lived"
1,2848,11,"Long-lived"
1,15016,13,"Long-lived"
1,496,16,"Long-lived"
1,371,17,"Long-lived"
1,229,23,"Long-lived"
1,310,17,"Long-lived"
1,74755,9,"Long-lived"
1,70079,8,"Long-lived"
1,77660,8,"Long-lived"
1,4982,10,"Long-lived"
1,3720,20,"Long-lived"
1,2821,9,"Long-lived"
1,26402,11,"Long-lived"
1,3820,12,"Long-lived"
1,4974,10,"Long-lived"
1,624,7,"Long-lived"
1,30068,8,"Long-lived"
1,1663,11,"Long-lived"
1,845,10,"Long-lived"
1,26610,9,"Long-lived"
1,836,11,"Long-lived"
1,29768,7,"Long-lived"
1,191,20,"Long-lived"
1,77656,8,"Long-lived"
1,862,11,"Long-lived"
1,800,12,"Long-lived"
1,16460,7,"Long-lived"
1,10270,8,"Long-lived"
1,10268,8,"Long-lived"
1,12084,8,"Long-lived"
1,77190,8,"Long-lived"
1,566,17,"Long-lived"
1,15014,13,"Long-lived"
1,26971,14,"Long-lived"
1,4527,16,"Long-lived"
1,27308,8,"Long-lived"
1,414,11,"Long-lived"
1,70954,8,"Long-lived"
1,28823,14,"Long-lived"
1,3800,8,"Long-lived"
1,4025,13,"Long-lived"
1,2249,7,"Long-lived"
1,70078,8,"Long-lived"
1,31039,7,"Long-lived"
1,78677,8,"Long-lived"
1,293,17,"Long-lived"
1,2703,8,"Long-lived"
1,26729,8,"Long-lived"
1,2694,16,"Long-lived"
1,2493,12,"Long-lived"
1,219,21,"Long-lived"
1,2662,7,"Long-lived"
1,4717,16,"Long-lived"
1,737,11,"Long-lived"
1,27615,8,"Long-lived"
1,311,17,"Long-lived"
1,313,17,"Long-lived"
1,2365,12,"Long-lived"
1,32862,10,"Long-lived"
1,36843,13,"Long-lived"
1,2151,8,"Long-lived"
1,33227,13,"Long-lived"
1,32996,13,"Long-lived"
1,246,23,"Long-lived"
1,671,11,"Long-lived"
1,2187,9,"Long-lived"
1,301,17,"Long-lived"
1,26413,11,"Long-lived"
1,372,17,"Long-lived"
1,3234,7,"Long-lived"
1,70351,7,"Long-lived"
1,962,13,"Long-lived"
1,77189,8,"Long-lived"
1,37650,13,"Long-lived"
1,26529,14,"Long-lived"
1,79820,7,"Long-lived"
1,4591,16,"Long-lived"
1,14993,11,"Long-lived"
1,33306,13,"Long-lived"
1,31879,14,"Long-lived"
1,3930,16,"Long-lived"
1,35774,7,"Long-lived"
1,1117,7,"Long-lived"
1,2930,9,"Long-lived"
1,19853,10,"Long-lived"
1,39674,8,"Long-lived"
1,78665,8,"Long-lived"
1,37123,8,"Long-lived"
1,40,13,"Long-lived"
1,3408,9,"Long-lived"
1,33082,7,"Long-lived"
1,2182,10,"Long-lived"
1,68,14,"Long-lived"
1,362,17,"Long-lived"
1,10272,8,"Long-lived"
1,74812,8,"Long-lived"
1,868,8,"Long-lived"
1,798,12,"Long-lived"
1,864,12,"Long-lived"
1,32207,14,"Long-lived"
1,655,7,"Long-lived"
1,70011,8,"Long-lived"
1,33300,13,"Long-lived"
1,35772,13,"Long-lived"
1,35771,13,"Long-lived"
1,220,10,"Long-lived"
1,70861,8,"Long-lived"
1,36394,13,"Long-lived"
1,75592,8,"Long-lived"
1,36388,13,"Long-lived"
1,828,10,"Long-lived"
1,2849,11,"Long-lived"
1,891,13,"Long-lived"
1,30208,8,"Long-lived"
1,26570,10,"Long-lived"
1,74228,7,"Long-lived"
1,71275,8,"Long-lived"
1,37642,13,"Long-lived"
1,700,13,"Long-lived"
