"Clusters_version","CloneClassID","NumberOfVersions","GroupName"
1,5997,1,"Short-lived"
1,529,2,"Short-lived"
1,68591,1,"Short-lived"
1,6348,1,"Short-lived"
1,6003,1,"Short-lived"
1,1095,1,"Short-lived"
1,96713,2,"Short-lived"
1,128516,1,"Short-lived"
1,52374,1,"Short-lived"
1,31504,1,"Short-lived"
1,51864,1,"Short-lived"
1,45955,1,"Short-lived"
1,150167,1,"Short-lived"
1,6001,1,"Short-lived"
1,693,1,"Short-lived"
1,32802,2,"Short-lived"
1,56696,1,"Short-lived"
1,125611,1,"Short-lived"
1,49320,2,"Short-lived"
1,53010,1,"Short-lived"
1,35762,1,"Short-lived"
1,34557,1,"Short-lived"
1,43151,1,"Short-lived"
1,1064,1,"Short-lived"
1,6358,1,"Short-lived"
1,14027,2,"Short-lived"
1,34547,1,"Short-lived"
1,52384,1,"Short-lived"
1,702,1,"Short-lived"
1,14658,2,"Short-lived"
1,35741,1,"Short-lived"
1,133017,2,"Short-lived"
1,31867,1,"Short-lived"
1,53856,1,"Short-lived"
1,1055,1,"Short-lived"
1,115373,1,"Short-lived"
1,65121,2,"Short-lived"
1,7078,1,"Short-lived"
1,45905,1,"Short-lived"
1,34813,1,"Short-lived"
1,42227,1,"Short-lived"
1,20035,2,"Short-lived"
1,49323,2,"Short-lived"
1,53405,1,"Short-lived"
1,16304,2,"Short-lived"
1,46164,1,"Short-lived"
1,38617,1,"Short-lived"
1,5534,1,"Short-lived"
1,53852,1,"Short-lived"
1,139445,2,"Short-lived"
1,34677,1,"Short-lived"
1,68589,1,"Short-lived"
1,5539,1,"Short-lived"
1,49318,2,"Short-lived"
1,52495,1,"Short-lived"
1,53480,1,"Short-lived"
1,45372,1,"Short-lived"
1,51856,1,"Short-lived"
1,35347,2,"Short-lived"
1,59356,1,"Short-lived"
1,1,2,"Short-lived"
1,13009,2,"Short-lived"
1,52019,1,"Short-lived"
1,11479,1,"Short-lived"
1,3982,2,"Short-lived"
1,51872,1,"Short-lived"
1,1047,1,"Short-lived"
1,15555,2,"Short-lived"
1,49415,2,"Short-lived"
1,32209,1,"Short-lived"
1,34564,1,"Short-lived"
1,685,1,"Short-lived"
1,161483,1,"Short-lived"
1,32171,1,"Short-lived"
1,32240,2,"Short-lived"
1,52494,1,"Short-lived"
1,52383,1,"Short-lived"
1,45918,1,"Short-lived"
1,45950,1,"Short-lived"
1,32266,2,"Short-lived"
1,5548,1,"Short-lived"
1,12846,2,"Short-lived"
1,6114,1,"Short-lived"
1,214,1,"Short-lived"
1,45437,1,"Short-lived"
1,43954,1,"Short-lived"
1,115376,1,"Short-lived"
1,33756,1,"Short-lived"
1,34569,1,"Short-lived"
1,32166,1,"Short-lived"
1,14019,2,"Short-lived"
1,3913,2,"Short-lived"
1,52064,1,"Short-lived"
1,46489,2,"Short-lived"
1,51874,1,"Short-lived"
1,51863,1,"Short-lived"
1,20306,2,"Short-lived"
1,45749,1,"Short-lived"
1,59357,2,"Short-lived"
1,31760,1,"Short-lived"
1,52478,1,"Short-lived"
1,31642,1,"Short-lived"
1,11444,1,"Short-lived"
1,115375,1,"Short-lived"
1,53011,1,"Short-lived"
1,32533,1,"Short-lived"
1,12909,2,"Short-lived"
1,32448,1,"Short-lived"
1,45929,1,"Short-lived"
1,12774,2,"Short-lived"
1,4629,2,"Short-lived"
1,32169,1,"Short-lived"
1,94574,2,"Short-lived"
1,83011,2,"Short-lived"
1,4347,1,"Short-lived"
1,80975,1,"Short-lived"
1,32322,1,"Short-lived"
1,117213,1,"Short-lived"
1,668,1,"Short-lived"
1,34578,1,"Short-lived"
1,5542,1,"Short-lived"
1,32216,1,"Short-lived"
1,5536,1,"Short-lived"
1,127,1,"Short-lived"
1,51884,1,"Short-lived"
1,51885,1,"Short-lived"
1,5538,1,"Short-lived"
1,34529,1,"Short-lived"
1,36956,1,"Short-lived"
1,44371,1,"Short-lived"
1,45470,1,"Short-lived"
1,34850,1,"Short-lived"
1,90098,2,"Short-lived"
1,455,2,"Short-lived"
1,115367,1,"Short-lived"
1,52498,1,"Short-lived"
1,64077,1,"Short-lived"
1,52484,1,"Short-lived"
1,45342,1,"Short-lived"
1,33660,1,"Short-lived"
1,37103,2,"Short-lived"
1,45952,1,"Short-lived"
1,43559,1,"Short-lived"
1,122400,1,"Short-lived"
1,46511,2,"Short-lived"
1,145,1,"Short-lived"
1,115025,1,"Short-lived"
1,35358,2,"Short-lived"
1,32167,1,"Short-lived"
1,44739,1,"Short-lived"
1,6413,1,"Short-lived"
1,54325,1,"Short-lived"
1,7085,1,"Short-lived"
1,7080,1,"Short-lived"
1,32818,1,"Short-lived"
1,36150,1,"Short-lived"
1,52381,1,"Short-lived"
1,36148,1,"Short-lived"
1,20275,2,"Short-lived"
1,33511,1,"Short-lived"
1,64883,1,"Short-lived"
1,65450,1,"Short-lived"
1,31679,1,"Short-lived"
1,34573,1,"Short-lived"
1,34572,1,"Short-lived"
1,46591,2,"Short-lived"
1,46657,2,"Short-lived"
1,15001,2,"Short-lived"
1,32208,1,"Short-lived"
1,34570,1,"Short-lived"
1,139585,2,"Short-lived"
1,218,1,"Short-lived"
1,33796,1,"Short-lived"
1,6069,1,"Short-lived"
1,1067,1,"Short-lived"
1,45970,1,"Short-lived"
1,6127,1,"Short-lived"
1,35324,1,"Short-lived"
1,44357,1,"Short-lived"
1,6157,1,"Short-lived"
1,52477,1,"Short-lived"
1,121,1,"Short-lived"
1,52476,1,"Short-lived"
1,52084,1,"Short-lived"
1,67032,1,"Short-lived"
1,53399,1,"Short-lived"
1,53700,1,"Short-lived"
1,57462,1,"Short-lived"
1,21792,2,"Short-lived"
1,7084,1,"Short-lived"
1,4346,2,"Short-lived"
1,7086,1,"Short-lived"
1,62757,2,"Short-lived"
1,32436,1,"Short-lived"
1,13460,2,"Short-lived"
1,5452,1,"Short-lived"
1,38280,2,"Short-lived"
1,94659,2,"Short-lived"
1,52497,1,"Short-lived"
1,98214,1,"Short-lived"
1,34227,1,"Short-lived"
1,7072,1,"Short-lived"
1,44250,1,"Short-lived"
1,42928,1,"Short-lived"
1,5541,1,"Short-lived"
1,4618,1,"Short-lived"
1,5535,1,"Short-lived"
1,248,1,"Short-lived"
1,47766,2,"Short-lived"
1,115382,1,"Short-lived"
1,35142,2,"Short-lived"
1,86681,2,"Short-lived"
1,64498,1,"Short-lived"
1,40023,1,"Short-lived"
1,35344,2,"Short-lived"
1,53009,1,"Short-lived"
1,81831,1,"Short-lived"
1,115366,1,"Short-lived"
1,115362,1,"Short-lived"
1,43287,1,"Short-lived"
1,46656,2,"Short-lived"
1,10752,1,"Short-lived"
1,40018,1,"Short-lived"
1,21794,2,"Short-lived"
1,115350,1,"Short-lived"
1,52089,1,"Short-lived"
1,43616,1,"Short-lived"
1,102757,1,"Short-lived"
1,32602,1,"Short-lived"
1,45932,1,"Short-lived"
1,52371,1,"Short-lived"
1,96457,2,"Short-lived"
1,44640,1,"Short-lived"
1,45736,1,"Short-lived"
1,71643,1,"Short-lived"
1,43831,2,"Short-lived"
1,45741,1,"Short-lived"
1,134905,1,"Short-lived"
1,123682,1,"Short-lived"
1,32220,2,"Short-lived"
1,12393,2,"Short-lived"
1,43676,1,"Short-lived"
1,52372,1,"Short-lived"
1,35432,2,"Short-lived"
1,52030,1,"Short-lived"
1,207,1,"Short-lived"
1,6013,1,"Short-lived"
1,46036,2,"Short-lived"
1,1065,1,"Short-lived"
1,33757,1,"Short-lived"
1,20584,2,"Short-lived"
1,32441,1,"Short-lived"
1,46681,2,"Short-lived"
1,31942,1,"Short-lived"
1,115369,1,"Short-lived"
1,36728,1,"Short-lived"
1,39742,1,"Short-lived"
1,31721,1,"Short-lived"
1,56196,1,"Short-lived"
1,4658,1,"Short-lived"
1,7105,1,"Short-lived"
1,45197,1,"Short-lived"
1,56050,1,"Short-lived"
1,37128,2,"Short-lived"
1,46397,2,"Short-lived"
1,142014,2,"Short-lived"
1,7130,1,"Short-lived"
1,67033,1,"Short-lived"
1,7088,1,"Short-lived"
1,44650,1,"Short-lived"
1,80971,1,"Short-lived"
1,52581,2,"Short-lived"
1,6070,1,"Short-lived"
1,35931,1,"Short-lived"
1,37092,2,"Short-lived"
1,20800,2,"Short-lived"
1,52386,1,"Short-lived"
1,47337,2,"Short-lived"
1,5555,1,"Short-lived"
1,52382,1,"Short-lived"
1,5550,1,"Short-lived"
1,5552,1,"Short-lived"
1,34865,1,"Short-lived"
1,33865,2,"Short-lived"
1,45737,1,"Short-lived"
1,35215,1,"Short-lived"
1,6469,1,"Short-lived"
1,147480,2,"Short-lived"
1,34703,1,"Short-lived"
1,81338,2,"Short-lived"
1,51900,1,"Short-lived"
1,32451,1,"Short-lived"
1,59781,2,"Short-lived"
1,51875,1,"Short-lived"
1,53797,1,"Short-lived"
1,65124,2,"Short-lived"
1,34549,1,"Short-lived"
1,133836,1,"Short-lived"
1,34546,1,"Short-lived"
1,139591,2,"Short-lived"
1,34545,1,"Short-lived"
1,44366,1,"Short-lived"
1,46660,1,"Short-lived"
1,125616,1,"Short-lived"
1,52475,1,"Short-lived"
1,44866,1,"Short-lived"
1,67036,1,"Short-lived"
1,6106,1,"Short-lived"
1,109875,2,"Short-lived"
1,34519,1,"Short-lived"
1,98623,1,"Short-lived"
1,34079,1,"Short-lived"
1,62756,2,"Short-lived"
1,65195,1,"Short-lived"
1,35271,2,"Short-lived"
1,45507,1,"Short-lived"
1,39925,1,"Short-lived"
1,6404,1,"Short-lived"
1,45782,1,"Short-lived"
1,12844,2,"Short-lived"
1,143247,1,"Short-lived"
1,98215,1,"Short-lived"
1,14989,2,"Short-lived"
1,69360,1,"Short-lived"
1,5549,1,"Short-lived"
1,34577,1,"Short-lived"
1,7067,1,"Short-lived"
1,34575,1,"Short-lived"
1,130810,2,"Short-lived"
1,44732,1,"Short-lived"
1,43930,1,"Short-lived"
1,84452,2,"Short-lived"
1,12843,2,"Short-lived"
1,70687,1,"Short-lived"
1,226,1,"Short-lived"
1,32591,1,"Short-lived"
1,115368,1,"Short-lived"
1,35010,2,"Short-lived"
1,64950,1,"Short-lived"
1,12847,2,"Short-lived"
1,32222,2,"Short-lived"
1,53722,1,"Short-lived"
1,35000,2,"Short-lived"
1,35957,2,"Short-lived"
1,12848,2,"Short-lived"
1,56886,1,"Short-lived"
1,6588,1,"Short-lived"
1,6084,1,"Short-lived"
1,45923,1,"Short-lived"
1,31598,1,"Short-lived"
1,20036,2,"Short-lived"
1,31593,1,"Short-lived"
1,69519,2,"Short-lived"
1,53688,1,"Short-lived"
1,20590,2,"Short-lived"
1,39717,1,"Short-lived"
1,72348,1,"Short-lived"
1,53340,1,"Short-lived"
1,6498,1,"Short-lived"
1,39026,1,"Short-lived"
1,65149,1,"Short-lived"
1,116101,1,"Short-lived"
1,36556,2,"Short-lived"
1,49402,2,"Short-lived"
1,43674,1,"Short-lived"
1,42839,1,"Short-lived"
1,31521,2,"Short-lived"
1,20028,2,"Short-lived"
1,45263,1,"Short-lived"
1,13010,2,"Short-lived"
1,6384,1,"Short-lived"
1,32148,1,"Short-lived"
1,35270,2,"Short-lived"
1,65532,1,"Short-lived"
1,32554,1,"Short-lived"
1,46503,2,"Short-lived"
1,68593,1,"Short-lived"
1,31709,1,"Short-lived"
1,36493,1,"Short-lived"
1,145706,2,"Short-lived"
1,31726,1,"Short-lived"
1,31730,1,"Short-lived"
1,704,1,"Short-lived"
1,35510,1,"Short-lived"
1,689,1,"Short-lived"
1,31708,1,"Short-lived"
1,52583,2,"Short-lived"
1,34535,1,"Short-lived"
1,31519,2,"Short-lived"
1,157331,2,"Short-lived"
1,154746,2,"Short-lived"
1,6527,1,"Short-lived"
1,35781,1,"Short-lived"
1,667,1,"Short-lived"
1,67027,1,"Short-lived"
1,664,1,"Short-lived"
1,6126,1,"Short-lived"
1,52378,1,"Short-lived"
1,90109,2,"Short-lived"
1,49143,2,"Short-lived"
1,44427,1,"Short-lived"
1,46438,2,"Short-lived"
1,64836,1,"Short-lived"
1,64833,1,"Short-lived"
1,64835,1,"Short-lived"
1,43662,1,"Short-lived"
1,32096,2,"Short-lived"
1,50248,2,"Short-lived"
1,32450,1,"Short-lived"
1,34574,1,"Short-lived"
1,34540,1,"Short-lived"
1,58014,2,"Short-lived"
1,34571,1,"Short-lived"
1,34531,1,"Short-lived"
1,65115,1,"Short-lived"
1,34548,1,"Short-lived"
1,44886,1,"Short-lived"
1,43153,1,"Short-lived"
1,80941,1,"Short-lived"
1,46920,2,"Short-lived"
1,42228,1,"Short-lived"
1,53564,1,"Short-lived"
1,34985,2,"Short-lived"
1,53354,1,"Short-lived"
1,34541,1,"Short-lived"
1,34230,1,"Short-lived"
1,67929,1,"Short-lived"
1,31509,1,"Short-lived"
1,53940,1,"Short-lived"
1,34520,1,"Short-lived"
1,37182,1,"Short-lived"
1,35284,2,"Short-lived"
1,35287,2,"Short-lived"
1,5638,2,"Short-lived"
1,32427,1,"Short-lived"
1,54065,1,"Short-lived"
1,69916,2,"Short-lived"
1,89669,2,"Short-lived"
1,83147,2,"Short-lived"
1,14024,2,"Short-lived"
1,6122,1,"Short-lived"
1,32211,1,"Short-lived"
1,39831,1,"Short-lived"
1,33129,1,"Short-lived"
1,33125,1,"Short-lived"
1,47332,2,"Short-lived"
1,31929,1,"Short-lived"
1,5545,1,"Short-lived"
1,32629,1,"Short-lived"
1,34066,1,"Short-lived"
1,12869,2,"Short-lived"
1,44728,1,"Short-lived"
1,132,1,"Short-lived"
1,21591,2,"Short-lived"
1,32214,1,"Short-lived"
1,32348,1,"Short-lived"
1,52620,2,"Short-lived"
1,52619,2,"Short-lived"
1,53012,1,"Short-lived"
1,42894,2,"Short-lived"
1,39038,1,"Short-lived"
1,31719,1,"Short-lived"
1,31724,1,"Short-lived"
1,130981,1,"Short-lived"
1,35542,1,"Short-lived"
1,46927,1,"Short-lived"
1,52380,1,"Short-lived"
1,35304,1,"Short-lived"
1,32355,1,"Short-lived"
1,14722,2,"Short-lived"
1,43728,1,"Short-lived"
1,31601,2,"Short-lived"
1,6583,1,"Short-lived"
1,96458,2,"Short-lived"
1,32589,1,"Short-lived"
1,94601,2,"Short-lived"
1,114482,1,"Short-lived"
1,10305,1,"Short-lived"
1,49319,2,"Short-lived"
