"CloneClassID","SiblingCount","Avg_CloneLineCount","Diff_CloneLineCount","Avg_TokenCount","Diff_TokenCount","CloneType","Avg_DirectoryDistance","Max_DirectoryDistance","Avg_EditDistance","Max_EditDistance","Avg_LineCount","Diff_LineCount","Avg_LineCodeCount","Diff_LineCodeCount","Avg_LineCodeDeclCount","Diff_LineCodeDeclCount","Avg_LineCodeExeCount","Diff_LineCodeExeCount","Avg_StmtCount","Diff_StmtCount","Avg_StmtDeclCount","Diff_StmtDeclCount","Avg_StmtExeCount","Diff_StmtExeCount","Avg_RatioLineCount","Diff_RatioLineCount","Avg_RatioLineCodeCount","Diff_RatioLineCodeCount","Avg_RatioLineCodeDeclCount","Diff_RatioLineCodeDeclCount","Avg_RatioLineCodeExeCount","Diff_RatioLineCodeExeCount","Avg_RatioStmtCount","Diff_RatioStmtCount","Avg_RatioStmtDeclCount","Diff_RatioStmtDeclCount","Avg_RatioStmtExeCount","Diff_RatioStmtExeCount","Avg_FanOut","Diff_FanOut","Avg_FanIn","Diff_FanIn","Avg_Cyclomatic","Diff_Cyclomatic","Avg_CyclomaticModified","Diff_CyclomaticModified","Avg_CyclomaticStrict","Diff_CyclomaticStrict","Avg_Essential","Diff_Essential","Avg_MaxNesting","Diff_MaxNesting","Avg_CountLineComment","Diff_CountLineComment","Avg_RatioCommentToCode","Diff_RatioCommentToCode","Avg_Churn","Diff_Churn","Avg_LineAdded","Diff_LineAdded","Avg_LineDeleted","Diff_LineDeleted","Avg_CommitCount","Diff_CommitCount","Avg_DeveloperCount","Diff_DeveloperCount","Avg_MajorDeveloperCount","Diff_MajorDeveloperCount","Avg_FixCommitCount","Diff_FixCommitCount","Avg_NewFeatureCommitCount","Diff_NewFeatureCommitCount","Avg_ImproveCommitCount","Diff_ImproveCommitCount"
8,1,27,0,160,4,"Type_3",0,0,212,212,72.5,7,55,8,11,0,43,6,37.5,3,11,0,26.5,3,2.68518518518519,0.25925925925926,2.68518518518519,0.25925925925926,0.407407407407407,0,1.59259259259259,0.222222222222222,1.38888888888889,0.111111111111111,0.407407407407407,0,0.981481481481481,0.111111111111111,28.5,1,10,0,11,2,11,2,11,2,1,0,5,0,6.5,1,0.12,0.04,86.5,81,63.5,61,23,20,6.5,1,2.5,1,2.5,1,1.5,1,0.5,1,4.5,1
11,1,24,0,137,0,"Type_1",0,0,3,3,51.5,9,44.5,11,11,4,32.5,7,28,10,10,4,18,6,2.14583333333333,0.375,2.14583333333333,0.375,0.458333333333333,0.166666666666667,1.35416666666667,0.291666666666667,1.16666666666667,0.416666666666667,0.458333333333333,0.166666666666667,0.75,0.25,18.5,7,12,0,11,4,11,4,11,4,1,0,4,0,2.5,3,0.06,0.08,43,14,43,14,0,0,2,0,1,0,1,0,1,0,0,0,1,0
19,1,20.5,1,109,2,"Type_3",0,0,111,111,65,0,60,0,6,0,54,0,45,0,6,0,39,0,3.17261904761905,0.154761904761905,3.17261904761905,0.154761904761905,0.292857142857143,0.0142857142857143,2.63571428571429,0.128571428571429,2.19642857142857,0.107142857142857,0.292857142857143,0.0142857142857143,1.90357142857143,0.0928571428571427,12,0,6,0,5,0,5,0,5,0,1,0,1,0,3,0,0.05,0,58,0,58,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
20,1,17,0,135,2,"Type_3",0,0,98,98,52,12,42,14,8.5,3,32,10,28.5,5,7.5,1,21,4,3.05882352941176,0.705882352941176,3.05882352941176,0.705882352941176,0.5,0.176470588235294,1.88235294117647,0.588235294117647,1.67647058823529,0.294117647058824,0.5,0.176470588235294,1.23529411764706,0.235294117647059,26.5,5,8,2,8,2,8,2,11,2,1,0,1.5,1,3,2,0.075,0.07,91.5,99,80.5,77,11,22,3.5,5,1.5,1,1.5,1,0.5,1,0,0,3,4
24,1,12,0,108,0,"Type_2",2,2,97,97,66.5,17,59,20,10.5,1,46,18,39.5,17,7.5,1,32,18,5.54166666666667,1.41666666666667,5.54166666666667,1.41666666666667,0.875,0.0833333333333333,3.83333333333333,1.5,3.29166666666667,1.41666666666667,0.875,0.0833333333333333,2.66666666666667,1.5,28.5,1,9.5,1,10,2,10,2,13.5,3,1,0,2.5,1,1,2,0.02,0.04,24,36,22.5,39,1.5,3,1,0,1,0,1,0,0,0,0.5,1,0.5,1
27,1,20.5,1,109,2,"Type_3",0,0,101,101,58,0,53,0,6,0,47,0,40,0,6,0,34,0,2.83095238095238,0.138095238095238,2.83095238095238,0.138095238095238,0.292857142857143,0.0142857142857143,2.29404761904762,0.111904761904762,1.95238095238095,0.0952380952380953,0.292857142857143,0.0142857142857143,1.65952380952381,0.0809523809523809,12,0,5,0,5,0,5,0,5,0,1,0,1,0,3,0,0.06,0,53,0,53,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
28,1,33.5,1,180.5,1,"Type_3",2,2,378,378,59,16,45,8,4,0,31.5,5,29,4,5,0,24,4,1.76515151515152,0.53030303030303,1.76515151515152,0.53030303030303,0.119429590017825,0.00356506238859181,0.939393939393939,0.121212121212121,0.864973262032086,0.0935828877005347,0.119429590017825,0.00356506238859181,0.715686274509804,0.0980392156862745,10,0,13.5,1,13,2,13,2,14,2,2.5,3,5.5,1,12.5,23,0.305,0.57,30.5,55,30.5,55,0,0,1,0,1,0,1,0,0,0,0,0,1,0
29,1,17,2,122,26,"Type_3",0,0,206,206,22,6,18,2,4,0,12,2,14,2,5,0,9,2,1.30902777777778,0.506944444444444,1.30902777777778,0.506944444444444,0.236111111111111,0.0277777777777778,0.704861111111111,0.0347222222222222,0.822916666666667,0.0208333333333334,0.236111111111111,0.0277777777777778,0.527777777777778,0.0555555555555556,6.5,1,4,2,5,0,5,0,5,0,1,0,3,0,3,6,0.175,0.35,16.5,9,14.5,13,2,4,1.5,1,1,0,1,0,0,0,0,0,1.5,1
31,1,56.5,1,332,14,"Type_3",3,3,75,75,59.5,1,41,2,6,0,31,2,40,2,10,0,30,2,1.0531015037594,0.000939849624060241,1.0531015037594,0.000939849624060241,0.106203007518797,0.0018796992481203,0.548558897243108,0.0256892230576441,0.707863408521303,0.0228696741854637,0.106203007518797,0.0018796992481203,0.530858395989975,0.0260025062656641,13,0,6,0,9,0,9,0,9,0,1,0,3,0,11,0,0.27,0.02,44,2,44,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0
32,3,26.5,3,165.5,1,"Type_3",0,0,330,330,162,0,126,0,5,0,103,0,67,0,17,0,50,0,6.13285714285714,0.694285714285715,6.13285714285714,0.694285714285715,0.189285714285714,0.0214285714285714,3.89928571428571,0.441428571428572,2.53642857142857,0.287142857142857,0.189285714285714,0.0214285714285714,1.89285714285714,0.214285714285714,4,0,10,0,15,0,15,0,17,0,15,0,1,0,13,0,0.1,0,71.5,119,70.5,121,1,2,2,0,1,0,1,0,0.5,1,0,0,1.5,1
