"Clusters_version","CloneClassID","NumberOfVersions","GroupName"
1,291,12,"Long-lived"
1,2515,13,"Long-lived"
1,558,12,"Long-lived"
2,564,5,"Long-lived"
2,562,5,"Long-lived"
2,330,3,"Long-lived"
2,2322,4,"Long-lived"
2,342,5,"Long-lived"
2,4395,5,"Long-lived"
2,4393,5,"Long-lived"
2,5980,4,"Long-lived"
2,532,3,"Long-lived"
2,313,5,"Long-lived"
2,350,5,"Long-lived"
2,6031,3,"Long-lived"
2,6035,3,"Long-lived"
2,6042,3,"Long-lived"
2,6260,3,"Long-lived"
2,6047,3,"Long-lived"
2,341,5,"Long-lived"
2,7050,4,"Long-lived"
2,2309,4,"Long-lived"
3,515,7,"Long-lived"
3,2334,6,"Long-lived"
3,5336,6,"Long-lived"
3,2038,8,"Long-lived"
3,2321,6,"Long-lived"
3,257,7,"Long-lived"
3,6650,6,"Long-lived"
4,253,1,"Short-lived"
4,287,1,"Short-lived"
4,286,1,"Short-lived"
4,2,1,"Short-lived"
4,256,1,"Short-lived"
4,289,1,"Short-lived"
4,1725,2,"Short-lived"
4,35,1,"Short-lived"
4,7287,2,"Short-lived"
4,275,1,"Short-lived"
4,285,1,"Short-lived"
4,1153,2,"Short-lived"
4,264,1,"Short-lived"
4,43,1,"Short-lived"
4,27,1,"Short-lived"
4,2329,2,"Short-lived"
4,338,2,"Short-lived"
4,278,1,"Short-lived"
4,1938,2,"Short-lived"
4,2337,1,"Short-lived"
4,1643,1,"Short-lived"
4,279,1,"Short-lived"
5,41,20,"Long-lived"
5,9,20,"Long-lived"
5,4322,19,"Long-lived"
5,4115,19,"Long-lived"
5,4418,19,"Long-lived"
5,4160,19,"Long-lived"
5,37,20,"Long-lived"
6,216,15,"Long-lived"
6,217,15,"Long-lived"
6,198,15,"Long-lived"
6,249,15,"Long-lived"
6,189,15,"Long-lived"
6,17,15,"Long-lived"
6,104,15,"Long-lived"
6,219,15,"Long-lived"
6,1402,15,"Long-lived"
6,245,15,"Long-lived"
6,105,15,"Long-lived"
6,5681,15,"Long-lived"
6,5102,16,"Long-lived"
6,15,15,"Long-lived"
6,5910,14,"Long-lived"
6,5959,14,"Long-lived"
