"Clusters_version","CloneClassID","NumberOfVersions","GroupName"
1,1575,8,"Long-lived"
1,319,8,"Long-lived"
1,1429,8,"Long-lived"
1,1428,8,"Long-lived"
1,1584,8,"Long-lived"
1,1655,9,"Long-lived"
1,356,8,"Long-lived"
1,164,8,"Long-lived"
1,1249,9,"Long-lived"
2,517,11,"Long-lived"
2,680,11,"Long-lived"
2,715,10,"Long-lived"
2,821,10,"Long-lived"
2,417,11,"Long-lived"
2,418,11,"Long-lived"
2,612,11,"Long-lived"
2,862,10,"Long-lived"
2,445,11,"Long-lived"
2,507,11,"Long-lived"
2,566,11,"Long-lived"
2,508,11,"Long-lived"
2,638,11,"Long-lived"
2,420,11,"Long-lived"
3,147,13,"Long-lived"
3,855,14,"Long-lived"
3,1533,13,"Long-lived"
3,434,12,"Long-lived"
3,376,12,"Long-lived"
3,373,12,"Long-lived"
4,47,1,"Short-lived"
4,28,2,"Short-lived"
4,31,1,"Short-lived"
4,48,2,"Short-lived"
4,29,1,"Short-lived"
4,52,1,"Short-lived"
4,140,2,"Short-lived"
4,91,2,"Short-lived"
4,274,1,"Short-lived"
4,130,1,"Short-lived"
4,152,1,"Short-lived"
4,76,1,"Short-lived"
4,116,1,"Short-lived"
4,133,1,"Short-lived"
4,437,1,"Short-lived"
4,166,2,"Short-lived"
4,73,1,"Short-lived"
4,385,1,"Short-lived"
4,139,1,"Short-lived"
4,336,1,"Short-lived"
4,317,1,"Short-lived"
4,149,1,"Short-lived"
4,297,1,"Short-lived"
4,296,2,"Short-lived"
4,295,1,"Short-lived"
4,294,1,"Short-lived"
4,380,2,"Short-lived"
4,255,1,"Short-lived"
4,930,2,"Short-lived"
4,161,1,"Short-lived"
4,364,1,"Short-lived"
4,160,2,"Short-lived"
4,361,1,"Short-lived"
4,24,1,"Short-lived"
4,199,2,"Short-lived"
4,383,1,"Short-lived"
4,382,1,"Short-lived"
4,257,1,"Short-lived"
4,188,1,"Short-lived"
4,581,1,"Short-lived"
4,195,1,"Short-lived"
4,135,1,"Short-lived"
4,304,1,"Short-lived"
4,241,1,"Short-lived"
4,624,1,"Short-lived"
4,240,1,"Short-lived"
4,283,1,"Short-lived"
4,444,1,"Short-lived"
4,586,1,"Short-lived"
4,159,2,"Short-lived"
4,510,1,"Short-lived"
4,153,1,"Short-lived"
4,661,2,"Short-lived"
4,80,1,"Short-lived"
4,1574,1,"Short-lived"
4,516,1,"Short-lived"
4,442,1,"Short-lived"
4,411,1,"Short-lived"
4,275,1,"Short-lived"
4,423,1,"Short-lived"
4,377,1,"Short-lived"
4,11,2,"Short-lived"
4,604,1,"Short-lived"
4,804,2,"Short-lived"
4,401,1,"Short-lived"
4,629,1,"Short-lived"
4,628,1,"Short-lived"
4,645,1,"Short-lived"
4,1279,1,"Short-lived"
4,620,1,"Short-lived"
4,1268,1,"Short-lived"
4,85,1,"Short-lived"
4,477,1,"Short-lived"
4,397,1,"Short-lived"
4,389,1,"Short-lived"
4,691,1,"Short-lived"
4,796,1,"Short-lived"
4,475,1,"Short-lived"
4,696,2,"Short-lived"
4,908,1,"Short-lived"
4,414,1,"Short-lived"
4,818,2,"Short-lived"
4,487,1,"Short-lived"
4,631,1,"Short-lived"
4,1623,2,"Short-lived"
4,462,1,"Short-lived"
4,81,1,"Short-lived"
4,662,1,"Short-lived"
4,695,1,"Short-lived"
4,451,1,"Short-lived"
4,4259,1,"Short-lived"
4,2277,2,"Short-lived"
4,923,1,"Short-lived"
4,583,1,"Short-lived"
4,1255,2,"Short-lived"
4,714,1,"Short-lived"
4,925,1,"Short-lived"
4,298,2,"Short-lived"
4,633,1,"Short-lived"
4,658,1,"Short-lived"
4,1043,1,"Short-lived"
4,805,2,"Short-lived"
4,1280,1,"Short-lived"
4,935,1,"Short-lived"
4,1141,1,"Short-lived"
4,2252,2,"Short-lived"
5,8,3,"Long-lived"
5,20,4,"Long-lived"
5,3003,4,"Long-lived"
5,707,4,"Long-lived"
5,2863,4,"Long-lived"
5,32,3,"Long-lived"
5,132,3,"Long-lived"
5,27,3,"Long-lived"
5,138,3,"Long-lived"
5,37,3,"Long-lived"
5,650,3,"Long-lived"
5,75,3,"Long-lived"
5,92,3,"Long-lived"
5,362,4,"Long-lived"
5,461,3,"Long-lived"
5,459,3,"Long-lived"
5,386,3,"Long-lived"
5,127,4,"Long-lived"
5,1603,4,"Long-lived"
5,618,3,"Long-lived"
5,391,3,"Long-lived"
5,651,3,"Long-lived"
6,446,7,"Long-lived"
6,971,6,"Long-lived"
6,1952,7,"Long-lived"
6,965,6,"Long-lived"
6,652,7,"Long-lived"
6,831,6,"Long-lived"
6,1934,7,"Long-lived"
6,449,7,"Long-lived"
