"CloneClassID","SiblingCount","Avg_CloneLineCount","Diff_CloneLineCount","Avg_TokenCount","Diff_TokenCount","CloneType","Avg_DirectoryDistance","Max_DirectoryDistance","Avg_EditDistance","Max_EditDistance","Avg_LineCount","Diff_LineCount","Avg_LineCodeCount","Diff_LineCodeCount","Avg_LineCodeDeclCount","Diff_LineCodeDeclCount","Avg_LineCodeExeCount","Diff_LineCodeExeCount","Avg_StmtCount","Diff_StmtCount","Avg_StmtDeclCount","Diff_StmtDeclCount","Avg_StmtExeCount","Diff_StmtExeCount","Avg_RatioLineCount","Diff_RatioLineCount","Avg_RatioLineCodeCount","Diff_RatioLineCodeCount","Avg_RatioLineCodeDeclCount","Diff_RatioLineCodeDeclCount","Avg_RatioLineCodeExeCount","Diff_RatioLineCodeExeCount","Avg_RatioStmtCount","Diff_RatioStmtCount","Avg_RatioStmtDeclCount","Diff_RatioStmtDeclCount","Avg_RatioStmtExeCount","Diff_RatioStmtExeCount","Avg_FanOut","Diff_FanOut","Avg_FanIn","Diff_FanIn","Avg_Cyclomatic","Diff_Cyclomatic","Avg_CyclomaticModified","Diff_CyclomaticModified","Avg_CyclomaticStrict","Diff_CyclomaticStrict","Avg_Essential","Diff_Essential","Avg_MaxNesting","Diff_MaxNesting","Avg_CountLineComment","Diff_CountLineComment","Avg_RatioCommentToCode","Diff_RatioCommentToCode","Avg_Churn","Diff_Churn","Avg_LineAdded","Diff_LineAdded","Avg_LineDeleted","Diff_LineDeleted","Avg_CommitCount","Diff_CommitCount","Avg_DeveloperCount","Diff_DeveloperCount","Avg_MajorDeveloperCount","Diff_MajorDeveloperCount","Avg_FixCommitCount","Diff_FixCommitCount","Avg_NewFeatureCommitCount","Diff_NewFeatureCommitCount","Avg_ImproveCommitCount","Diff_ImproveCommitCount"
0,2,33,0,113,0,"Type_1",0,0,6.33,19,41.3333333333333,3,40.3333333333333,3,3.33333333333333,1,24.3333333333333,3,22.3333333333333,3,3.33333333333333,1,19,2,1.25252525252525,0.0909090909090908,1.25252525252525,0.0909090909090908,0.101010101010101,0.0303030303030303,0.737373737373737,0.0909090909090908,0.676767676767677,0.0909090909090909,0.101010101010101,0.0303030303030303,0.575757575757576,0.0606060606060607,7,0,4.33333333333333,1,9,0,9,0,9,0,1,0,3,0,1,0,0.0266666666666667,0.01,49.3333333333333,3,46.3333333333333,3,3,0,2,0,2,0,2,0,0,0,1,0,1,0
2,1,34,0,121,0,"Type_1",0,0,4,4,51,0,51,0,3,0,33,0,27,0,3,0,24,0,1.5,0,1.5,0,0.0882352941176471,0,0.970588235294118,0,0.794117647058823,0,0.0882352941176471,0,0.705882352941177,0,10,0,7,0,12,0,12,0,12,0,4,0,3,0,0,0,0,0,59,0,56,0,3,0,2,0,2,0,2,0,0,0,1,0,1,0
3,3,29,0,105,0,"Type_1",0,0,41.83,251,59,18,59,18,3.5,2,41,17,28.75,6,3.5,2,25.25,4,2.03448275862069,0.620689655172414,2.03448275862069,0.620689655172414,0.120689655172414,0.0689655172413793,1.41379310344828,0.586206896551724,0.991379310344828,0.206896551724138,0.120689655172414,0.0689655172413793,0.870689655172414,0.137931034482759,11.25,5,14.25,15,19.25,15,11.5,1,19.25,15,2.5,3,3.5,1,0,0,0,0,67.5,19,64.5,19,3,0,2,0,2,0,2,0,0,0,1,0,1,0
5,1,34,0,116,0,"Type_1",0,0,14,14,67,4,67,4,4,2,49,2,30.5,5,4,2,26.5,3,1.97058823529412,0.117647058823529,1.97058823529412,0.117647058823529,0.117647058823529,0.0588235294117647,1.44117647058824,0.0588235294117647,0.897058823529412,0.147058823529412,0.117647058823529,0.0588235294117647,0.779411764705882,0.088235294117647,12.5,5,21.5,1,26.5,1,11,0,26.5,1,1,0,4,0,0,0,0,0,76,4,73,4,3,0,2,0,2,0,2,0,0,0,1,0,1,0
14,1,9,0,103,0,"Type_1",0,0,9,9,14.5,1,14.5,1,4,0,12.5,1,13.5,1,4,0,9.5,1,1.61111111111111,0.111111111111111,1.61111111111111,0.111111111111111,0.444444444444444,0,1.38888888888889,0.111111111111111,1.5,0.111111111111111,0.444444444444444,0,1.05555555555556,0.111111111111111,10,0,5,0,1,0,1,0,1,0,1,0,0,0,0.5,1,0.035,0.07,20.5,1,17.5,1,3,0,2,0,1,0,1,0,0,0,0,0,2,0
16,1,16,0,140,0,"Type_1",0,0,14,14,35,0,29,0,5,0,27,0,28,0,5,0,23,0,2.1875,0,2.1875,0,0.3125,0,1.6875,0,1.75,0,0.3125,0,1.4375,0,8,0,5,0,1,0,1,0,1,0,1,0,0,0,5,0,0.17,0,57,0,43,0,14,0,3,0,1,0,1,0,0,0,0,0,3,0
17,7,32,0,111,0,"Type_1",0,0,0,0,76.25,90,75.25,90,3.875,2,56.875,87,42.125,64,3.875,2,38.25,62,2.3828125,2.8125,2.3828125,2.8125,0.12109375,0.0625,1.77734375,2.71875,1.31640625,2,0.12109375,0.0625,1.1953125,1.9375,10.25,7,15.125,30,21.625,25,12.375,9,21.625,25,2.875,5,3.5,1,1,0,0.01625,0.02,83.875,90,80.875,90,3,0,2,0,2,0,2,0,0,0,1,0,1,0
18,8,31,0,110,0,"Type_1",0,0,0,0,77.4444444444444,90,75.8888888888889,90,3.77777777777778,2,57,87,42.2222222222222,64,3.77777777777778,2,38.4444444444444,62,2.49820788530466,2.90322580645161,2.49820788530466,2.90322580645161,0.121863799283154,0.0645161290322581,1.83870967741935,2.80645161290323,1.36200716845878,2.06451612903226,0.121863799283154,0.0645161290322581,1.24014336917563,2,10.8888888888889,9,14.7777777777778,30,21.3333333333333,25,13,9,21.3333333333333,25,2.88888888888889,5,3.44444444444444,1,1.55555555555556,5,0.0222222222222222,0.06,84.7777777777778,90,81.6666666666667,90,3.11111111111111,1,2,0,2,0,2,0,0,0,1,0,1,0
19,5,32,0,111,0,"Type_1",0,0,0,0,95.5,53,93.6666666666667,53,4,2,73.3333333333333,53,52.1666666666667,50,4,2,48.1666666666667,48,2.984375,1.65625,2.984375,1.65625,0.125,0.0625,2.29166666666667,1.65625,1.63020833333333,1.5625,0.125,0.0625,1.50520833333333,1.5,12.8333333333333,6,20,23,27.5,15,15,7,27.5,15,3.83333333333333,5,3.66666666666667,1,1.83333333333333,5,0.02,0.06,102.5,54,99.3333333333333,54,3.16666666666667,1,2,0,2,0,2,0,0,0,1,0,1,0
20,4,36,0,128,0,"Type_1",0,0,0.2,2,97.2,53,96.2,53,4.2,2,76.4,53,54,50,4.2,2,49.8,48,2.7,1.47222222222222,2.7,1.47222222222222,0.116666666666667,0.0555555555555556,2.12222222222222,1.47222222222222,1.5,1.38888888888889,0.116666666666667,0.0555555555555556,1.38333333333333,1.33333333333333,12.2,4,21.6,23,29.2,13,14.4,7,29.2,13,4,5,3.8,1,1,0,0.01,0,104.6,54,101.6,54,3,0,2,0,2,0,2,0,0,0,1,0,1,0
21,1,20,0,114,0,"Type_1",0,0,0,0,44,4,29.5,1,5,0,21,0,17.5,1,5.5,1,12,2,2.2,0.2,2.2,0.2,0.25,0,1.05,0,0.875,0.05,0.25,0,0.6,0.1,18.5,1,12,4,8.5,1,8.5,1,10,0,2.5,3,5,0,13.5,1,0.46,0.02,27,8,26.5,9,0.5,1,1,0,1,0,1,0,0,0,1,0,0,0
22,1,14,0,132,0,"Type_1",0,0,14,14,28,4,23,4,5,0,21,4,22,4,5,0,17,4,2,0.285714285714286,2,0.285714285714286,0.357142857142857,0,1.5,0.285714285714286,1.57142857142857,0.285714285714286,0.357142857142857,0,1.21428571428571,0.285714285714286,8,0,5,0,1,0,1,0,1,0,1,0,0,0,2.5,1,0.11,0.02,41,8,32,6,9,2,3,0,1,0,1,0,0,0,0,0,3,0
24,1,16,10,149.5,89,"Type_3",0,0,457,457,23,14,19,12,5,0,17,12,18,12,5,0,13,12,1.44155844155844,0.025974025974026,1.44155844155844,0.025974025974026,0.346320346320346,0.216450216450216,1.04761904761905,0.0952380952380953,1.11688311688312,0.051948051948052,0.346320346320346,0.216450216450216,0.770562770562771,0.268398268398268,8,0,5,0,1,0,1,0,1,0,1,0,0,0,1.5,3,0.06,0.12,35,20,27,16,8,4,3,0,1,0,1,0,0,0,0,0,3,0
